rescue_ref	sha	already_on_live_origin
harvest/rescue-112-branchreflog-vibe-ic-repo	3d3cec9a1f4a7048576619fabe41ea28ce594d85	NO
harvest/rescue-112-displaced-1-vibe-ic	9204419771bf9f84275952f1a911525962a4247e	NO
harvest/rescue-112-localonly-vibe-ic	9872a8874c820f6c0773c111aa4c53ed22039ed8	NO
harvest/rescue-112-localonly-vibe-ic-repo	ad8527197bee2ea89399bb7b0b64eb9e05558dbc	NO
harvest/rescue-112-localrefs-1-vibe-ic	c24b74aa12a7d5fc9d767623bc06da31d437ace9	NO
harvest/rescue-112-localrefs-2-vibe-ic	df829b5ae842b4b597dff718075d0f4e67631550	NO
harvest/rescue-112-localrefs-3-vibe-ic-repo	3c5c33c012079ddc0500911f7aca729cca2c036c	NO
harvest/rescue-112-stashes-1-vibe-ic	2eaa1233ff14243726b667b74f01ab7250b36f75	NO
harvest/rescue-112-untracked-caravel-handoffs	33d256659929e84e53f83f6cde4be66fca0aca6a	NO
harvest/rescue-114-branchreflog-1-vibe-ic	0de06659189a73b5520cdd2aeee6803bd9771d76	NO
harvest/rescue-114-branchreflog-2-vibe-ic-repo	aa4e6519e9120cd6cc9fe2ef5d9dd47bb522cd87	NO
harvest/rescue-114-displaced-1-vibe-ic	6cdbbe9d7cad7c6e0c484842741bcbf88f9d2214	NO
harvest/rescue-114-jcpath2-moved	719ecc7df1962f70228812ab7d0dca3ea72c00a1	NO
harvest/rescue-114-localonly-vibe-ic	6864d3dabef9d3d3957e719118342d4f422ba39b	NO
harvest/rescue-114-localonly-vibe-ic-repo	350970637ce6ecacd2e6bd2e9c56d9624ff21d15	NO
harvest/rescue-114-localrefs-1-tree	fdf52f7598e04891b319b1d63f8b350a1f099e08	NO
harvest/rescue-114-localrefs-2-vibe-ic	73cdf0d3bc38354fbe80ff016410ddcc74fc595c	NO
harvest/rescue-114-localrefs-3-vibe-ic-repo	bd8b173a7736120ac29bccef5a52711a7c6d435a	NO
harvest/rescue-120-falselanded-_agent_scratch_whatif-wt_C	66f0222826572bfe7dc9b38c5b85ef6c150f072a	NO
harvest/rescue-120-falselanded-_agentjob_i1015-wt	d3f072f2377f0cce094cdae0457bfcd52b287b25	NO
