host	path	repo	head	branch	kind	prior_verdict	notes
108	/home/reyerchu/wt-jf63x8b	/home/reyerchu/vibe-ic	ec46ce1e6ad098fb61dbfbe7821764570353b1f8	refs/heads/jfindings/63x8-producer-identity	MOVED	RECOVER	HEAD moved since judging (78ffef90a -> ec46ce1e6); prior RECOVER is void
108	/home/reyerchu/wt-jm9	/home/reyerchu/vibe-ic	509f10d85273bae6608a9494b39ba53a4a2f273b	refs/heads/jm9/rebased	NEW		never judged
108	/home/reyerchu/wt-jw1-tapeout	/home/reyerchu/vibe-ic	a48ad8b7856c973936b10287fad60957ffb4d5c3	refs/heads/agent/jw1-tapeout-readiness	NEW		never judged
108	/home/reyerchu/wt-jw2-extract-err	/home/reyerchu/vibe-ic	d8af5ec157cf38fc2f57fa41f3208dab8f1a2595	refs/heads/fix/jw2-extraction-error-channel-unread	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1232 nadd=1232 ndel=989 rule=R2 issue=
108	/home/reyerchu/wt-jw2-scratch-revert	/home/reyerchu/vibe-ic	64452a3fb93812c785bcf572e21a94032bf35ea6	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1192 nadd=1192 ndel=989 rule=R2 issue=
108	/home/reyerchu/wt-main62	/home/reyerchu/vibe-ic	6dfe15a329e6e1fbd621d0bfaadaed41c3c5db9a	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-base	/home/reyerchu/vibe-ic	867de428920c708934f06411fc91225dc4f58fe6	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-ppa	/home/reyerchu/vibe-ic	c7f34a9822923c1ce9053b8c093cc10b2dca8f4d	refs/heads/jwire/ppa-wiring	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt	/home/reyerchu/vibe-ic	0aa57229f64d69904a7d70f302ab7093530fc654	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt2	/home/reyerchu/vibe-ic	b6bb7de63d2b8e73bce75c5f5d7debeb3b48e889	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt3	/home/reyerchu/vibe-ic	8342b9a636d262a3985c64463ad9fc4205e258e1	(detached)	NEW		never judged
112	/home/reyerchu/_a1456	/home/reyerchu/vibe-ic	3d13e2c59eb0e65527326b1f932050550c982188	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=0 ndel=0 rule=L2 issue=
112	/home/reyerchu/_a1610	/home/reyerchu/vibe-ic	66ed68a707f0237a47acfeb6fe87937316b7a780	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=68 nadd=68 ndel=1349 rule=R2 issue=
112	/home/reyerchu/_batch41	/home/reyerchu/vibe-ic	6c91641b85f489d839036bed3dcdce9d6152cf4e	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=768 nadd=969 ndel=5099 rule=R2 issue=
112	/home/reyerchu/_batch42	/home/reyerchu/vibe-ic	2a942150b9895db1e0350c8a15e6374e9e0f12d4	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=795 nadd=996 ndel=5414 rule=R2 issue=
